CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,62,33,72
2,Male,28,24,82
3,Male,31,34,24
4,Female,19,87,80
5,Male,57,56,43
6,Female,20,30,82
7,Male,52,55,43
8,Female,50,51,51
9,Female,41,51,55
10,Male,36,53,55
11,Female,35,30,33
12,Female,66,74,20
13,Male,69,55,59
14,Female,41,74,23
15,Male,62,22,24
16,Female,52,93,8
17,Male,18,57,55
18,Female,53,80,18
19,Female,42,50,45
20,Female,62,26,88
21,Female,66,22,31
22,Male,60,26,77
23,Male,51,26,13
24,Male,42,85,25
25,Male,33,85,79
26,Male,51,79,17
27,Male,46,80,21
28,Male,36,27,82
29,Female,40,19,27
30,Female,36,87,82
31,Female,42,83,25
32,Female,33,75,93
33,Male,68,55,46
34,Male,26,17,26
35,Male,18,22,26
36,Female,59,24,82
37,Male,36,92,90
38,Female,50,21,81
39,Male,51,58,73
40,Male,33,80,83
41,Male,61,77,21
42,Male,57,86,82
43,Female,35,20,17
44,Female,51,83,19
45,Male,42,25,34
46,Female,62,89,83
47,Male,23,21,23
48,Male,38,27,21
49,Male,23,84,24
50,Male,49,30,18
51,Female,58,19,77
52,Male,65,32,85
53,Male,60,93,26
54,Female,56,55,52
55,Male,48,83,25
56,Female,59,81,16
57,Male,27,91,84
58,Male,47,26,14
59,Male,69,57,53
60,Male,35,19,89
61,Male,41,25,73
62,Male,69,71,17
63,Female,26,89,11
64,Male,48,94,91
65,Female,32,29,34
66,Female,21,31,31
67,Male,57,18,27
68,Female,26,90,11
69,Male,62,79,24
70,Female,26,86,89
71,Male,43,77,16
72,Female,21,53,66
73,Female,34,27,34
74,Male,33,43,51
75,Female,32,58,50
76,Male,52,23,71
77,Male,69,29,93
78,Male,22,85,81
79,Male,22,84,18
80,Male,37,27,23
81,Female,32,27,85
82,Female,35,79,27
83,Female,64,22,83
84,Male,19,86,85
85,Female,46,27,82
86,Female,30,87,20
87,Female,21,26,86
88,Female,59,98,80
89,Female,62,85,24
90,Male,27,84,87
91,Male,48,30,73
92,Female,58,84,92
93,Male,25,24,23
94,Male,20,80,86
95,Female,65,34,77
96,Female,63,81,84
97,Male,26,92,82
98,Female,47,22,28
99,Male,28,29,26
100,Male,52,26,13
101,Female,54,81,24
102,Male,59,30,75
103,Male,30,88,20
104,Male,53,90,84
105,Female,30,54,54
106,Female,29,21,29
107,Female,54,50,49
108,Female,27,52,55
109,Male,26,19,83
110,Female,69,27,14
111,Female,24,13,80
112,Female,19,55,44
113,Female,40,58,53
114,Male,56,85,83
115,Male,57,15,22
116,Male,56,21,36
117,Female,38,91,22
118,Female,40,76,77
119,Male,46,18,84
120,Female,31,77,96
121,Female,43,98,80
122,Male,68,75,19
123,Male,22,69,39
124,Female,48,51,54
125,Female,42,80,86
126,Female,48,82,19
127,Male,67,20,77
128,Male,37,61,54
129,Male,61,72,26
130,Male,34,90,86
131,Female,62,80,88
132,Male,19,87,94
133,Male,42,20,78
134,Female,30,60,61
135,Female,56,25,19
136,Female,45,18,72
137,Male,59,61,14
138,Female,23,20,23
139,Female,20,79,78
140,Male,52,49,55
141,Male,35,80,81
142,Female,28,58,57
143,Male,37,82,16
144,Female,22,76,25
145,Female,36,23,75
146,Male,39,59,45
147,Female,36,36,83
148,Male,64,27,31
149,Male,33,62,45
150,Male,41,56,52
151,Female,58,85,80
152,Male,21,9,30
153,Male,32,47,44
154,Female,42,28,82
155,Female,61,16,80
156,Female,52,90,13
157,Female,31,86,80
158,Male,66,75,17
159,Male,36,21,78
160,Male,55,59,40
161,Female,53,85,88
162,Female,24,25,95
163,Male,47,87,96
164,Female,36,36,81
165,Female,66,25,16
166,Male,42,25,79
167,Male,33,73,18
168,Female,64,72,82
169,Female,57,68,54
170,Female,68,80,98
171,Male,25,88,16
172,Male,35,26,23
173,Male,45,15,81
174,Male,33,91,82
175,Male,69,49,53
176,Female,36,25,31
177,Female,59,18,18
178,Female,34,52,57
179,Male,62,34,30
180,Male,30,82,86
181,Male,24,17,77
182,Female,44,28,24
183,Male,27,52,50
184,Male,51,27,76
185,Female,53,54,45
186,Male,42,82,16
187,Female,23,61,52
188,Male,41,89,89
189,Male,35,24,82
190,Female,40,16,21
191,Female,23,88,94
192,Female,46,24,24
193,Female,42,61,56
194,Female,34,78,13
195,Female,63,50,41
196,Male,41,22,22
197,Male,28,27,80
198,Female,43,85,22
199,Male,68,88,16
200,Female,51,50,51
