CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Female,62,33,72,1
2,Male,28,24,82,1
3,Male,31,34,24,3
4,Female,19,87,80,2
5,Male,57,56,43,0
6,Female,20,30,82,1
7,Male,52,55,43,0
8,Female,50,51,51,0
9,Female,41,51,55,0
10,Male,36,53,55,0
11,Female,35,30,33,3
12,Female,66,74,20,4
13,Male,69,55,59,0
14,Female,41,74,23,4
15,Male,62,22,24,3
16,Female,52,93,8,4
17,Male,18,57,55,0
18,Female,53,80,18,4
19,Female,42,50,45,0
20,Female,62,26,88,1
21,Female,66,22,31,3
22,Male,60,26,77,1
23,Male,51,26,13,3
24,Male,42,85,25,4
25,Male,33,85,79,2
26,Male,51,79,17,4
27,Male,46,80,21,4
28,Male,36,27,82,1
29,Female,40,19,27,3
30,Female,36,87,82,2
31,Female,42,83,25,4
32,Female,33,75,93,2
33,Male,68,55,46,0
34,Male,26,17,26,3
35,Male,18,22,26,3
36,Female,59,24,82,1
37,Male,36,92,90,2
38,Female,50,21,81,1
39,Male,51,58,73,0
40,Male,33,80,83,2
41,Male,61,77,21,4
42,Male,57,86,82,2
43,Female,35,20,17,3
44,Female,51,83,19,4
45,Male,42,25,34,3
46,Female,62,89,83,2
47,Male,23,21,23,3
48,Male,38,27,21,3
49,Male,23,84,24,4
50,Male,49,30,18,3
51,Female,58,19,77,1
52,Male,65,32,85,1
53,Male,60,93,26,4
54,Female,56,55,52,0
55,Male,48,83,25,4
56,Female,59,81,16,4
57,Male,27,91,84,2
58,Male,47,26,14,3
59,Male,69,57,53,0
60,Male,35,19,89,1
61,Male,41,25,73,1
62,Male,69,71,17,4
63,Female,26,89,11,4
64,Male,48,94,91,2
65,Female,32,29,34,3
66,Female,21,31,31,3
67,Male,57,18,27,3
68,Female,26,90,11,4
69,Male,62,79,24,4
70,Female,26,86,89,2
71,Male,43,77,16,4
72,Female,21,53,66,0
73,Female,34,27,34,3
74,Male,33,43,51,0
75,Female,32,58,50,0
76,Male,52,23,71,1
77,Male,69,29,93,1
78,Male,22,85,81,2
79,Male,22,84,18,4
80,Male,37,27,23,3
81,Female,32,27,85,1
82,Female,35,79,27,4
83,Female,64,22,83,1
84,Male,19,86,85,2
85,Female,46,27,82,1
86,Female,30,87,20,4
87,Female,21,26,86,1
88,Female,59,98,80,2
89,Female,62,85,24,4
90,Male,27,84,87,2
91,Male,48,30,73,1
92,Female,58,84,92,2
93,Male,25,24,23,3
94,Male,20,80,86,2
95,Female,65,34,77,1
96,Female,63,81,84,2
97,Male,26,92,82,2
98,Female,47,22,28,3
99,Male,28,29,26,3
100,Male,52,26,13,3
101,Female,54,81,24,4
102,Male,59,30,75,1
103,Male,30,88,20,4
104,Male,53,90,84,2
105,Female,30,54,54,0
106,Female,29,21,29,3
107,Female,54,50,49,0
108,Female,27,52,55,0
109,Male,26,19,83,1
110,Female,69,27,14,3
111,Female,24,13,80,1
112,Female,19,55,44,0
113,Female,40,58,53,0
114,Male,56,85,83,2
115,Male,57,15,22,3
116,Male,56,21,36,3
117,Female,38,91,22,4
118,Female,40,76,77,2
119,Male,46,18,84,1
120,Female,31,77,96,2
121,Female,43,98,80,2
122,Male,68,75,19,4
123,Male,22,69,39,0
124,Female,48,51,54,0
125,Female,42,80,86,2
126,Female,48,82,19,4
127,Male,67,20,77,1
128,Male,37,61,54,0
129,Male,61,72,26,4
130,Male,34,90,86,2
131,Female,62,80,88,2
132,Male,19,87,94,2
133,Male,42,20,78,1
134,Female,30,60,61,0
135,Female,56,25,19,3
136,Female,45,18,72,1
137,Male,59,61,14,4
138,Female,23,20,23,3
139,Female,20,79,78,2
140,Male,52,49,55,0
141,Male,35,80,81,2
142,Female,28,58,57,0
143,Male,37,82,16,4
144,Female,22,76,25,4
145,Female,36,23,75,1
146,Male,39,59,45,0
147,Female,36,36,83,1
148,Male,64,27,31,3
149,Male,33,62,45,0
150,Male,41,56,52,0
151,Female,58,85,80,2
152,Male,21,9,30,3
153,Male,32,47,44,0
154,Female,42,28,82,1
155,Female,61,16,80,1
156,Female,52,90,13,4
157,Female,31,86,80,2
158,Male,66,75,17,4
159,Male,36,21,78,1
160,Male,55,59,40,0
161,Female,53,85,88,2
162,Female,24,25,95,1
163,Male,47,87,96,2
164,Female,36,36,81,1
165,Female,66,25,16,3
166,Male,42,25,79,1
167,Male,33,73,18,4
168,Female,64,72,82,2
169,Female,57,68,54,0
170,Female,68,80,98,2
171,Male,25,88,16,4
172,Male,35,26,23,3
173,Male,45,15,81,1
174,Male,33,91,82,2
175,Male,69,49,53,0
176,Female,36,25,31,3
177,Female,59,18,18,3
178,Female,34,52,57,0
179,Male,62,34,30,3
180,Male,30,82,86,2
181,Male,24,17,77,1
182,Female,44,28,24,3
183,Male,27,52,50,0
184,Male,51,27,76,1
185,Female,53,54,45,0
186,Male,42,82,16,4
187,Female,23,61,52,0
188,Male,41,89,89,2
189,Male,35,24,82,1
190,Female,40,16,21,3
191,Female,23,88,94,2
192,Female,46,24,24,3
193,Female,42,61,56,0
194,Female,34,78,13,4
195,Female,63,50,41,0
196,Male,41,22,22,3
197,Male,28,27,80,1
198,Female,43,85,22,4
199,Male,68,88,16,4
200,Female,51,50,51,0
