Area_sqft,Bedrooms,Bathrooms,House_Age_years,Location_Score,Garage,Price
2024,3,2,22,1.9,1,327447
2178,3,3,12,7.6,1,440700
2257,3,2,4,4.5,1,363792
1204,4,4,3,8.1,0,288029
1161,4,5,27,5.4,1,231437
1323,5,5,13,2.6,1,242226
1877,4,4,7,7.6,1,388241
1666,3,3,8,3.3,1,270712
1215,4,4,56,5.4,0,224224
2265,5,4,50,1.7,0,356674
1970,4,4,34,6.6,1,338084
1901,1,1,36,7.0,0,324631
1645,3,2,20,4.4,1,287326
1573,4,5,57,9.6,1,330045
1295,4,4,17,8.9,1,276795
2360,2,2,32,7.4,1,384528
1378,4,5,7,7.4,1,289734
1926,5,5,50,3.3,1,327555
2797,2,1,48,6.9,0,393194
1601,5,5,16,2.8,0,303490
2376,2,2,42,2.3,0,312026
2141,2,1,30,10.0,1,414866
1987,2,3,33,6.6,0,308451
2058,2,1,5,4.9,1,307196
1743,4,5,21,3.6,1,311713
1821,2,1,13,6.4,1,328567
1471,3,4,2,1.4,0,262872
1825,2,1,11,1.9,1,266770
1449,3,4,35,1.3,0,224557
2403,2,3,11,5.5,1,384873
780,4,5,44,6.4,1,174253
2089,2,3,1,1.6,1,334182
2002,4,5,1,7.5,1,347794
1948,4,4,14,3.1,0,283760
2415,1,2,22,7.2,1,374976
1628,5,5,28,9.8,1,341564
1953,1,2,16,7.2,1,341064
770,2,2,31,8.9,1,206184
1551,1,1,6,9.5,1,296075
2313,3,2,29,5.4,1,329522
997,3,4,27,7.3,1,230504
1896,4,3,13,8.7,1,358007
1393,3,2,43,4.2,1,235015
1733,4,5,29,3.4,1,285309
1429,2,1,16,9.5,1,294050
1052,4,5,31,7.5,0,231576
2032,2,1,45,3.0,0,281068
1770,2,3,5,5.0,1,318801
2168,2,3,50,8.2,1,339595
2277,2,3,23,5.9,1,339536
2535,3,3,5,6.8,0,416809
1880,4,3,26,7.8,0,299773
2561,2,2,17,6.6,1,424012
1215,4,3,23,5.9,1,247674
2345,4,3,36,7.7,0,379831
2076,4,3,55,7.5,1,362770
1940,2,2,23,6.7,1,331699
2067,3,2,37,4.2,1,313503
1224,5,5,33,4.7,1,274645
1082,4,5,39,9.7,1,252830
2826,3,2,46,2.0,1,397929
1699,2,1,14,3.4,1,232514
1690,3,4,10,5.4,0,307166
1139,3,4,21,8.5,1,252483
911,4,3,53,2.5,1,132543
1747,2,3,23,3.5,1,280056
1595,3,3,0,1.6,1,256939
1801,3,3,17,7.4,1,287652
1852,3,2,43,3.1,1,221798
3294,4,4,11,4.5,0,482473
1597,4,4,56,5.0,1,315096
2748,3,2,42,9.0,1,443785
2785,5,5,27,4.7,1,426292
2252,2,1,39,2.3,1,330487
1659,2,2,59,5.7,1,281561
983,3,2,6,9.7,0,270049
2087,2,1,22,6.5,1,347037
2411,2,2,20,9.9,1,428568
2849,2,2,33,8.6,1,459058
1230,4,3,10,1.3,1,202362
1654,2,2,21,6.9,1,247148
1234,4,4,41,3.6,1,212952
1420,1,1,34,6.0,1,259023
2199,5,5,51,3.5,0,330355
1392,4,4,28,4.1,1,252304
1305,1,1,41,9.3,0,204655
2278,4,5,27,2.9,0,334183
2070,3,2,58,8.9,0,335273
2010,4,4,17,1.3,1,322714
1408,3,2,13,1.8,1,213193
2576,4,5,17,8.7,0,427707
1809,4,4,27,6.7,0,340934
3228,3,2,23,7.7,1,499292
1897,1,1,7,2.9,0,275457
400,4,4,41,5.8,1,183908
400,3,3,53,7.6,0,119273
2174,3,3,44,6.6,1,349055
2580,1,1,52,5.2,1,368179
1330,3,3,7,9.6,1,272712
3061,5,5,3,7.1,1,515446
2798,3,4,26,9.2,1,464115
1926,3,4,35,7.6,0,399452
2124,4,4,4,7.6,1,389777
2337,4,4,32,1.7,1,374663
2934,3,4,48,4.2,0,434629
2209,3,4,33,8.7,0,345966
1913,5,5,29,3.1,1,284239
2203,4,4,7,2.0,0,341035
2122,2,1,38,3.9,1,334173
2355,2,1,46,3.0,1,325798
858,3,2,25,9.3,1,222131
1990,2,1,56,8.8,1,314898
2076,3,3,36,5.5,1,299521
1756,4,3,33,1.6,0,234607
2270,2,3,6,7.4,1,339442
2953,4,5,39,6.6,0,428684
1883,3,2,27,9.7,1,332610
2215,4,5,38,6.0,1,392200
2764,4,4,38,4.0,0,393553
1897,1,1,27,5.7,1,295831
1267,3,2,13,9.8,0,273121
2169,2,2,52,7.3,1,350456
479,4,5,49,7.0,1,142110
421,4,4,37,3.2,1,153300
2000,3,3,3,7.7,0,314621
400,3,4,41,7.8,1,144505
1011,3,3,17,3.9,1,199397
1572,4,5,43,5.4,1,306744
1367,3,4,47,3.7,1,266323
1711,3,3,24,3.3,0,284221
2468,3,4,6,1.2,1,397358
1943,2,2,37,3.6,1,264331
1296,4,5,27,6.0,1,297779
2613,1,1,4,1.0,1,370026
943,4,5,2,3.5,1,155753
1933,2,3,43,8.9,1,329048
876,2,2,30,6.3,0,189871
1951,4,5,46,6.5,0,318735
1609,5,4,41,4.6,1,260834
2449,4,3,57,7.1,1,442134
2232,2,3,19,2.7,1,329416
1448,2,3,18,8.4,1,287820
1333,4,3,47,2.1,1,182635
1611,3,3,59,6.9,0,252611
2925,2,1,10,4.1,1,392454
2771,4,3,39,7.7,1,469294
1219,4,5,2,5.9,0,272996
2280,5,5,22,5.1,0,364236
761,5,4,6,2.5,1,198833
1532,4,4,22,6.7,0,282802
1243,2,1,6,9.8,1,272222
2442,2,1,45,8.4,0,373884
1026,3,3,33,1.5,1,182627
2058,3,2,41,4.4,1,319551
1800,3,2,18,9.3,1,347226
1695,3,4,57,5.5,0,303795
2803,3,3,8,7.0,0,453374
2856,3,4,47,9.2,1,451597
1713,1,2,50,8.9,1,288211
1592,3,3,17,5.5,0,304794
896,3,3,40,4.9,0,176431
1797,4,3,47,4.1,1,279690
2972,2,3,44,7.5,1,430362
1723,3,3,41,3.6,0,267486
2237,4,5,24,3.2,0,325869
962,3,4,51,4.2,1,217860
1539,1,1,13,2.6,1,199635
2077,3,2,43,7.3,1,376392
1864,3,4,24,6.5,1,321049
2295,5,5,18,5.3,0,357182
1438,2,1,38,4.5,1,230789
750,4,5,54,9.2,1,193974
2473,2,2,14,1.3,1,340319
1238,3,4,15,7.9,1,255721
2104,3,3,26,9.1,0,387007
2071,3,3,39,5.0,1,329439
802,3,4,9,6.0,1,174027
2429,2,3,3,9.5,1,404554
1460,3,3,50,2.9,1,245924
1833,4,3,18,5.7,0,344437
1585,3,4,27,5.3,1,281268
2774,5,5,20,3.3,1,406470
2606,4,4,58,8.4,1,451671
713,3,2,46,9.1,1,207974
3155,1,1,13,8.0,1,500763
1393,3,2,32,2.8,1,229615
3061,4,5,47,1.8,0,409005
1646,3,3,9,6.4,0,305542
1595,4,4,18,1.5,1,270058
1652,3,3,29,7.1,0,275268
1560,4,3,21,5.8,1,293866
3315,2,2,2,7.0,1,492924
1754,4,5,36,6.3,1,339768
1619,3,2,40,4.8,0,265780
1846,3,2,17,2.8,1,257930
1220,3,2,10,3.8,0,182789
2758,3,2,47,5.7,1,402515
917,5,5,1,6.9,1,252460
1432,2,2,11,8.0,1,295364
2362,2,3,53,7.9,1,384873
1825,3,3,5,9.8,0,383167
2130,3,4,42,3.6,1,313320
2720,3,2,58,1.6,0,334693
2402,4,3,39,4.1,1,341645
1882,3,4,43,7.7,0,340375
3054,5,5,28,4.9,1,477124
1423,3,3,58,8.4,1,223020
1740,2,3,29,5.9,1,296454
1782,4,5,1,9.4,1,376589
1739,4,4,8,9.5,1,352571
1158,3,3,46,1.6,0,179776
850,4,4,1,5.1,1,182894
2050,2,3,28,6.5,0,365526
1420,3,3,32,3.3,1,245606
2945,5,4,9,4.7,1,420858
1756,2,1,33,7.1,1,289973
1649,3,2,43,3.0,1,259548
2457,4,5,54,6.4,1,369617
2041,5,4,7,7.3,1,394461
1695,3,4,36,1.8,0,291623
1416,3,4,53,5.5,1,234811
3995,3,2,59,3.4,1,537211
2017,5,5,32,7.5,1,378755
2451,4,5,46,2.7,1,391627
1186,2,1,5,9.0,0,240099
1453,3,4,43,4.9,1,228292
3067,3,3,39,2.8,1,448345
2638,4,4,44,4.9,0,369478
2075,4,3,18,4.7,0,377522
1571,4,5,31,4.9,1,303139
1660,5,5,26,6.3,1,307928
1394,2,3,0,5.7,1,290296
1106,2,3,42,2.3,1,176190
2354,3,2,51,1.6,1,311845
2123,3,3,32,7.6,0,332138
